size,First,Last,Middle,Random
1530,285.372,472.24,8.9151,43.3408
1540,288.123,478.955,8.83115,43.7488
1550,288.436,485.743,9.055,44.5428
1560,302.947,493.18,9.47855,44.6388
1570,304.202,497.536,9.3015,44.9323
1580,306.491,505.006,9.08815,45.3223
1590,306.233,510.529,9.1485,45.5348
1600,320.7,528.876,10.018,47.3874
1610,328.718,534.049,9.93455,46.7669
1620,323.133,530.494,9.6631,46.3399
1630,328.156,537.562,9.78755,46.7241
1640,328.187,544.763,9.4165,46.0947
1650,347.814,562.11,10.6286,48.6953
1660,349.17,573.678,10.4,48.5458
1670,340.416,563.077,9.7,47.3354
1680,345.255,571.721,9.8456,47.8022
1690,347.395,574.924,9.7726,48.3554
1700,351.545,583.632,9.83165,48.2008
1710,357.071,589.633,9.96755,47.6307
1720,357.454,595.415,9.9415,48.6234
1730,358.423,606.215,10.1075,49.2093
1740,364.354,608.483,10.1486,49.3604
1750,369.624,618.022,10.1361,49.6278
1760,379.548,635.638,11.4616,51.6098
1770,402.975,647.853,12.0601,52.1093
1780,407.783,663.042,11.9616,54.1257
1790,401.536,677.231,12.0446,53.7999
1800,411.259,708.915,12.3511,56.6875
1810,395.646,658.434,10.3605,51.1037
1820,468.577,777.82,12.8526,56.6908
1830,437.402,716.891,11.8031,53.2964
1840,427.903,709.02,11.177,52.4193
1850,422.23,698.223,12.6745,54.9733
1860,438.448,711.109,12.8745,56.6734
1870,426.236,716.212,11.9386,54.8603
1880,428.947,724.732,11.967,55.2164
1890,432.933,722.346,11.4491,54.8913
1900,436.458,737.35,11.355,53.8903
1910,444.236,734.397,11.2135,54.244
1920,450.731,751.627,11.4375,54.084
1930,451.57,750.231,11.2316,54.2284
1940,452.165,765.537,11.7401,55.2611
1950,462.093,768.43,12.0966,55.2492
1960,470.098,795.007,12.4116,57.9754
1970,477.785,791.081,11.7601,57.3059
1980,489.566,809.845,12.2841,58.1885
1990,491.52,812.995,12.1771,57.8647
2000,492.119,818.095,12.317,57.945
2010,576.747,947.02,14.5273,62.309
2020,700.813,1180.11,17.422,68.4441
2030,732.306,1188.43,17.551,68.1966
2040,696.775,1099.59,16.0071,67.4624
2050,528.75,921.201,13.3851,61.108
2060,521.29,867.894,12.8391,59.6179
2070,526.729,865.051,12.9596,60.1933
2080,526.747,869.269,12.2136,59.4469
2090,530.579,886.039,12.9677,59.7463
2100,535.42,884.791,12.3716,59.1224
2110,533.471,902.972,12.6415,59.8615
2120,542.815,912.806,12.6276,59.7349
2130,543.662,910.796,12.6136,61.1005
2140,570.499,934.104,13.3286,61.8998
2150,852.723,1433.9,19.5037,74.7522
2160,1114.28,1661.08,22.2807,88.9605
2170,574.832,948.144,12.8641,61.6308
2180,579.687,970.109,13.6111,63.6249
2190,589.644,976.365,13.3231,62.4974
2200,590.31,972.731,12.8381,62.4714
2210,597.618,980.538,13.1265,62.4689
2220,582.332,989.683,13.0381,63.0479
2230,596.612,999.675,12.9841,62.9105
2240,606.606,1008.19,12.9466,63.3597
2250,605.91,1015.73,13.0596,63.8587
2260,603.283,1025.54,13.07,64.1595
2270,622.881,1034.46,13.3006,64.1945
2280,621.181,1043.53,13.1757,64.8794
2290,625.388,1052.08,13.1775,64.7265
2300,634.388,1061.48,13.4131,64.9449
2310,644.67,1070.92,13.5575,65.0008
2320,640.165,1079.41,13.3931,65.8484
