size,First,Last,Middle,Random
1530,241.858,474.918,8.58405,40.7315
1540,247.059,491.618,8.76055,41.3433
1550,248.802,488.372,9.13605,50.8454
1560,254.95,494.631,9.73815,43.1102
1570,254.251,506.287,8.92955,42.0502
1580,258.515,503.122,8.9535,42.8043
1590,260.924,509.312,8.96555,42.2058
1600,264.629,515.032,9.06855,42.9528
1610,268.213,521.758,9.06855,42.9143
1620,271.36,528.347,9.059,43.175
1630,273.742,534.901,9.303,43.3003
1640,277.086,541.43,9.33515,43.6772
1650,280.407,548.401,9.6101,43.3273
1660,284.534,555.498,9.42005,44.1273
1670,287.331,561.47,9.4686,44.5253
1680,290.749,567.91,9.5506,44.6162
1690,293.959,579.13,9.949,53.3609
1700,343.774,641.907,11.2585,48.5148
1710,337.888,631.293,10.8206,47.8113
1720,340.617,652.767,11.3756,48.4793
1730,316.58,615.793,10.338,47.1518
1740,311.372,620.727,10.1391,46.4114
1750,315.979,614.95,10.186,48.0819
1760,341.636,671.75,10.8496,56.9228
1770,364.392,705.077,11.3166,49.8622
1780,350.766,708.984,11.0817,49.6003
1790,375.925,722.86,11.6292,50.6827
1800,367.098,696.345,11.5531,51.551
1810,368.975,724.872,11.5046,51.3563
1820,344.436,697.034,10.8441,49.8681
1830,355.85,678.747,10.8685,49.1071
1840,349.823,685.262,10.7316,50.1295
1850,352.456,698.369,10.5506,49.8764
1860,361.779,720.113,10.8521,50.1718
1870,360.604,710.861,10.7395,50.4224
1880,364.131,713.382,10.7916,51.3079
1890,366.917,720.961,10.9346,50.7945
1900,411.572,733.473,11.7162,52.2677
1910,384.342,769.737,12.4681,53.1513
1920,384.386,752.763,11.725,52.4284
1930,387.963,761.822,11.5656,53.5267
1940,391.76,767.644,11.3255,53.0922
1950,395.326,774.838,11.42,53.3215
1960,403.154,778.249,11.8351,53.4455
1970,494.404,967.877,14.496,58.8849
1980,590.264,1088.2,16.3552,63.4477
1990,515.926,997.731,14.5285,59.3865
2000,560.255,1019.63,15.4721,61.3645
2010,455.722,883.571,13.881,58.4726
2020,433.245,858.031,13.1396,57.1198
2030,429.88,847.958,13.1347,56.9537
2040,436.423,853.755,13.0486,57.6364
2050,444.736,878.603,13.5551,57.5325
2060,440.611,856.574,12.3742,56.9338
2070,461.212,869.35,12.3956,56.8813
2080,446.326,874.446,12.5945,57.3284
2090,455.201,881.767,12.6961,57.6123
2100,452.857,889.761,12.7311,57.1939
2110,463.048,901.927,12.8676,57.9763
2120,552.527,1086.18,15.2517,63.1558
2130,945.173,1764.46,23.5233,80.5586
2140,563.468,1116.74,14.6216,62.4859
2150,480.76,944.073,13.502,60.2205
2160,501.082,944.799,12.7112,58.3754
2170,481.547,945.37,12.9321,58.3608
2180,486.925,963.315,13.0195,59.4865
