size,First,Last,Middle,Random
1470,43.4793,38.3638,49.9058,63.999
1480,44.2288,38.4158,50.4669,65.7683
1490,44.5688,38.8137,51.1533,64.6064
1500,44.9588,38.9482,51.7064,65.9839
1510,45.5689,39.1067,52.3073,67.5849
1520,45.6733,39.5753,52.7913,67.3849
1530,45.6688,39.2647,52.8434,67.4904
1540,51.3489,44.0743,58.8464,75.6389
1550,46.6479,40.3042,53.3509,68.3829
1560,46.9394,40.4791,53.5974,68.6214
1570,47.0778,40.8613,54.2294,69.3254
1580,47.1183,40.8703,54.2618,70.084
1590,47.671,41.4436,55.0279,71.095
1600,48.3977,51.2539,55.6553,71.5669
1610,47.9293,42.6977,55.4958,71.6086
1620,49.3042,42.5098,56.2899,71.588
1630,49.3138,43.0409,56.5867,72.1874
1640,49.2983,42.8757,56.7729,71.858
1650,50.0166,42.7444,57.303,73.2884
1660,49.8318,43.2735,57.7331,73.106
1670,50.5015,43.387,57.5475,73.944
1680,50.9058,44.2413,58.3043,74.2175
1690,50.8264,44.3118,58.4238,74.6515
1700,51.3668,45.0994,59.3584,76.3145
1710,51.8419,45.3573,67.2619,76.0085
1720,52.2844,45.0887,59.6799,76.5359
1730,58.3413,51.9075,68.8288,85.37
1740,52.6104,45.7347,60.6033,77.397
1750,62.2459,54.3517,70.9877,89.65
1760,58.9552,52.729,68.6208,86.6112
1770,54.0473,47.1203,61.5049,78.0615
1780,54.0478,48.0989,62.0014,78.8611
1790,54.3224,47.8173,62.2508,78.9406
1800,55.1748,47.6893,62.4509,79.119
1810,55.3903,47.3338,62.7984,80.6535
1820,55.5923,48.2064,63.6984,80.7875
1830,56.0723,48.3413,63.9343,81.3296
1840,56.8604,48.9408,64.4053,81.5121
1850,56.4538,48.6753,64.4319,82.1157
1860,56.8139,49.2839,65.182,82.4505
1870,57.5393,49.5943,65.4985,83.277
1880,58.1468,49.8178,66.0124,83.6616
1890,57.9669,50.1463,66.6325,84.295
1900,59.2709,51.3874,67.933,86.35
1910,59.9058,51.7199,69.2214,87.5006
1920,59.1489,51.2132,67.593,86.162
1930,59.0103,51.6144,67.8708,86.3996
1940,62.2367,54.3087,72.7041,92.5369
1950,59.7725,52.0493,68.6985,87.38
1960,59.8993,56.0759,68.7419,87.9831
1970,60.5389,52.5404,69.3809,88.3616
1980,61.1259,52.5975,69.6413,88.6247
1990,61.8079,52.8894,70.7425,88.924
2000,62.9574,54.1503,70.854,90.9831
2010,62.8169,54.2514,71.6279,90.5597
2020,62.3498,54.5718,71.0162,91.0849
2030,63.1894,54.1874,71.9834,92.1021
2040,63.1066,55.5777,73.0522,92.5999
2050,63.8154,55.3058,72.5935,92.5314
2060,63.4484,55.4758,72.6955,92.1721
2070,64.1232,55.5111,73.0623,92.3607
2080,64.2366,56.0487,73.4252,93.2839
2090,64.8943,56.7475,74.1844,93.2968
2100,65.7859,57.0505,74.2919,94.2902
2110,65.7916,56.6442,74.6102,94.6324
2120,65.4405,56.7793,75.3965,95.6507
2130,65.8949,57.8295,76.7846,96.3099
2140,66.847,57.2125,76.4591,96.4294
2150,70.3367,57.8068,76.4327,96.6548
